,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
0,0,4.5652971267700195,4.417349720001221,4.650552272796631,4.230350017547607
1,2500,2.3331396935939788,2.3045259952545165,2.26383687081337,2.2089452743530273
2,5000,2.026498083162308,2.2307888984680178,1.9299024841308592,2.0510046243667603
3,7500,1.919547040128708,1.9711682081222537,1.8146190807342528,1.9085069656372071
4,10000,1.864764468336105,2.260121870040894,1.741529712820053,1.874116349220276
5,12500,1.8167176549434665,1.9844730377197264,1.7067702691078186,2.0513341426849365
6,15000,1.7882921120643616,2.1080207347869875,1.670860591840744,1.8794065952301025
7,17500,1.7665814492702483,2.2054289817810058,1.6509073237895966,1.962201714515686
8,20000,1.7449436317443847,1.911971712112427,1.6330634695529938,1.9714328289031984
9,22500,1.7314288888692857,1.995635414123535,1.6122858771324158,1.8417376756668091
10,25000,1.72517030916214,1.9260470151901248,1.5998886084079742,1.7873677015304563
11,27500,1.7089158342599868,1.7604274034500125,1.5886662633895874,1.9244359254837036
12,30000,1.7004195233345032,2.022380757331848,1.576758294081688,1.8341566324234009
13,32500,1.687754652285576,1.8859472274780271,1.5658651232242584,2.0092379570007326
14,35000,1.6824727238178254,1.8439290523529053,1.5576266228199005,1.8696011543273925
15,37500,1.6728023092269897,1.776602363586426,1.5517096266746522,1.8137598037719729
16,40000,1.6596033120632172,1.9875850915908813,1.544726831793785,2.144941234588623
17,42500,1.6575824972391129,1.9029905796051023,1.5337974771022798,1.820535922050476
18,45000,1.6478791597127915,1.7976521968841552,1.5274364258289337,1.8706358671188352
19,47500,1.6463476327896118,2.1064557075500487,1.5247106939792634,1.9303187608718873
20,50000,1.6394334838151932,2.042872190475464,1.5174153430938722,1.7868130445480346
21,52500,1.639436075115204,1.7840632677078248,1.509170827269554,1.8879318475723263
22,55000,1.6339629767417907,1.7874009370803834,1.5076572949886322,1.99762282371521
23,57500,1.6217070615768432,1.8600431203842165,1.5021800439834594,1.6881213665008543
24,60000,1.6289947925567627,2.04500994682312,1.5036663581371308,1.8249282360076904
25,62500,1.6187173032283784,1.9024062156677248,1.489059378385544,1.7172659635543823
26,65000,1.616326152062416,1.9596863031387328,1.490996223449707,1.6688172340393066
27,67500,1.6096943842411042,1.893537187576294,1.4794902274131776,1.875046682357788
28,70000,1.6070688549041747,2.019782567024231,1.4811776991605758,2.070319175720215
