,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
0,0,4.565097332000732,4.466681861877442,4.218059539794922,4.442617321014405
1,2500,2.2925963020324707,2.3307234048843384,2.2043518124103545,2.21242938041687
2,5000,1.983540826845169,2.0240564823150633,1.8772241971969603,1.9318553924560544
3,7500,1.8814868736743928,1.9074143648147583,1.7509567786216735,1.9856813907623292
4,10000,1.818737819814682,1.9475434064865111,1.6867803426027297,1.9096299648284911
5,12500,1.7757806497097015,2.194091463088989,1.6261007308006286,1.97468843460083
6,15000,1.749755001449585,1.836352491378784,1.5988700843811037,1.905542588233948
7,17500,1.723330490875244,1.89592182636261,1.5629197297096251,1.6594240188598632
8,20000,1.702696238899231,1.7322411298751832,1.5395738237142562,1.991546368598938
9,22500,1.6838996355295182,1.8265728235244751,1.5143222975254058,2.0591010808944703
10,25000,1.6715303017139436,1.6485965967178344,1.4980079356908798,1.7462477684020996
11,27500,1.6574521089792251,1.9171643733978272,1.4740964956760407,1.8856362581253052
12,30000,1.6374669253349303,1.8729273796081545,1.4579757264614106,1.780171012878418
13,32500,1.6282121396541596,1.7203410625457765,1.444936741876602,1.810337281227112
14,35000,1.6229567720413207,1.8709599018096923,1.434097972035408,1.6462979555130004
15,37500,1.6093226974248886,1.743541145324707,1.4122298835277558,1.972974753379822
16,40000,1.6041460537195205,1.9026280879974364,1.4001491827487946,1.9876402854919433
17,42500,1.594631643986702,1.7066067934036255,1.3884500864982603,1.837156391143799
18,45000,1.5805530955314635,1.857190728187561,1.3741773431301116,1.9773714542388916
19,47500,1.575165961265564,1.939532804489136,1.3642311922073365,1.8041574478149416
20,50000,1.5758138469696046,1.9334267854690552,1.3534210540533065,2.126679921150207
21,52500,1.567145199584961,1.7910660982131958,1.3382289221525192,2.041384768486023
22,55000,1.561262474513054,1.8741011381149293,1.3360877352714535,2.1589397192001343
23,57500,1.5552782811641692,1.8527009963989256,1.324387092447281,1.71424241065979
24,60000,1.5486718346595765,1.6158270835876465,1.3161477182626724,1.914664101600647
25,62500,1.5401262720346451,1.7306137800216674,1.3061124021291732,1.8687065362930295
26,65000,1.543736622977257,1.92250816822052,1.297197884941101,2.058572864532471
27,67500,1.540246259021759,1.9475168943405152,1.288055954313278,2.276609516143799
28,70000,1.5284900450706482,1.842529034614563,1.2791078484296798,2.0609849214553835
29,72500,1.5230561272144318,1.840921068191528,1.2739611708402634,2.0942500829696655
30,75000,1.521761841249466,1.811290383338928,1.262038127231598,1.774859356880188
31,77500,1.5190680742502212,1.6965975761413574,1.26175997736454,2.0863439798355103
32,80000,1.523454349899292,1.918790054321289,1.2502898924827577,2.3979306697845457
33,82500,1.5127713248729706,1.5819035530090333,1.2386109748125076,2.228659963607788
34,85000,1.50868051841259,1.690816378593445,1.244556952738762,2.017755818367005
35,87500,1.5098601611614226,1.765589380264282,1.2300473948955537,1.9525688886642456
36,90000,1.501326778292656,1.8341272830963136,1.221926643705368,2.34812445640564
37,92500,1.4998803530931473,1.7975799560546877,1.2178740965604782,2.0924132108688354
38,95000,1.493031973171234,1.6206928491592407,1.21145261926651,2.075815296173096
39,97500,1.500040091538429,1.69519305229187,1.213067119550705,1.983190894126892
40,100000,1.492266415643692,1.9520482301712037,1.2035084176301956,2.513962745666504
41,102500,1.4869637909412383,1.9021706104278564,1.198909414744377,2.137735605239868
42,105000,1.4821974224090575,1.6353183269500733,1.1966759123802184,2.1436943292617796
43,107500,1.4843854996681214,1.5649875402450562,1.188162840795517,1.8970077991485597
44,110000,1.4838172182559968,2.0749391078948975,1.18151299636364,1.9911908626556396
45,112500,1.4862841807365417,1.7593799114227295,1.1746850806236266,2.061906266212463
46,115000,1.4806330793857574,1.975972366333008,1.170298728775978,2.14668927192688
47,117500,1.475191033434868,1.9349253177642824,1.171750889468193,2.1793811082839967
48,120000,1.4721670410871506,1.8180334329605103,1.1642960668325424,2.148207759857178
49,122500,1.472974591898918,1.706810426712036,1.1609034099340438,2.365185761451721
50,125000,1.470422707247734,1.7762399196624756,1.152284218621254,2.0676796197891236
51,127500,1.4702457540273666,1.895947551727295,1.1487295526981354,2.2123709440231325
52,130000,1.4623659194469452,1.7079343795776367,1.1446662605047226,2.1711265087127685
53,132500,1.461689780545235,1.8288916110992433,1.1389406059503555,1.9143782615661624
54,135000,1.4580190875053405,1.640278434753418,1.1377844451904298,2.2337230682373046
55,137500,1.4560781935214997,1.8186389684677124,1.1358637495994568,2.565403127670288
56,140000,1.4612023834228516,1.9334060430526736,1.1266211437225342,2.2714688062667845
57,142500,1.4496001198768615,1.8416512727737424,1.122714853668213,2.303349018096924
58,145000,1.45281413230896,1.6460185050964355,1.12302939517498,2.624738574028015
59,147500,1.4483078525304791,1.972077775001526,1.1194793708324433,2.2791200637817384
60,150000,1.451855393910408,2.152361965179443,1.117884158205986,2.2917407751083374
61,152500,1.4487610045671464,1.8744112253189087,1.1132541226148605,1.96046884059906
62,155000,1.4480419157981872,1.832227611541748,1.112767215371132,3.143855667114258
63,157500,1.4461128747701646,1.7058229923248291,1.1049316269397735,1.971927046775818
64,160000,1.4412156816482544,1.8636090278625488,1.1005416460514068,2.435184192657471
65,162500,1.4462414222717286,1.7625003337860108,1.0981487178087237,2.484601593017578
66,165000,1.4422846723794938,1.8091538429260257,1.1015604655742646,2.054420924186706
67,167500,1.4392049221754075,1.9875146627426148,1.0950389041662216,2.4877131462097166
68,170000,1.436138186264038,1.8359473943710327,1.0936834383964538,2.5281641483306885
69,172500,1.4384850976228714,1.8816560745239257,1.0887066481113434,2.4387515068054197
70,175000,1.4396293946027756,1.9649511575698853,1.087285814666748,2.251218199729919
71,177500,1.4347754280567169,1.751729702949524,1.083418678545952,2.3131853580474853
72,180000,1.434115724802017,1.79540376663208,1.0813200157880782,1.9447364807128904
73,182500,1.427457826471329,1.9784047603607176,1.081230978155136,2.2812246322631835
74,185000,1.427946136856079,1.835275912284851,1.0779944701910018,2.4916080236434937
