,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
78,195000,1.5861987280845642,2.0364031553268434,1.2646613510608673,2.032661962509155
79,197500,1.583095600295067,1.9058304309844971,1.2630204595327377,1.931458020210266
80,200000,1.5853971186876297,1.8608657836914064,1.2588234180927276,2.1692450523376463
81,202500,1.581560641670227,1.9590544939041137,1.257706567358971,2.0509231090545654
82,205000,1.5841644795894625,1.728016376495361,1.255749788379669,1.961886286735535
83,207500,1.5757220502376557,1.777646279335022,1.2545986729860306,2.213739848136902
84,210000,1.5789583591461185,1.8206527948379516,1.253653504228592,2.4110162973403932
85,212500,1.5790514661073685,1.909173607826233,1.252868502664566,2.2668766260147093
86,215000,1.5801181124448775,1.857525539398193,1.2538869094133378,2.001813530921936
87,217500,1.5805577430963516,1.784793210029602,1.2502746352910996,1.9661885023117065
88,220000,1.5773201082229615,1.6315299987792968,1.248601757788658,2.2643836975097655
89,222500,1.5747124396562575,1.9126624822616576,1.2450569060325622,2.5029083251953126
90,225000,1.5767184728860857,1.6885300159454346,1.2445667647123335,2.128020977973938
91,227500,1.5709528192281723,1.7498245239257812,1.2428918074607849,2.381159949302673
92,230000,1.573262439084053,1.653436017036438,1.245439101743698,2.0193295955657957
93,232500,1.5745556243896484,1.9023201942443848,1.238475857949257,2.021228861808777
94,235000,1.5741528159379958,1.7252117395401,1.2381040907859802,2.1783235549926756
95,237500,1.572069039463997,1.9583635568618776,1.2359855826377868,1.891864109039307
96,240000,1.5750868206977844,2.0061846017837524,1.2336140776872635,2.2995861053466795
97,242500,1.569824988913536,1.6723079919815065,1.231329274201393,2.1785888671875
98,245000,1.5709603197813031,1.5494233608245849,1.2371965760707857,1.9813396692276
99,247500,1.5615370797157289,1.937947940826416,1.231158949661255,2.1430355310440063
100,250000,1.570910506105423,1.796923804283142,1.2284329313516618,2.174311375617981
101,252500,1.568795912718773,1.8658891201019288,1.228297298002243,2.143399381637573
102,255000,1.57085742688179,1.7175249099731444,1.221639723443985,2.143630266189575
103,257500,1.5658157970428466,1.69221510887146,1.2292159710645676,2.3348334789276124
104,260000,1.5649323096990586,1.8942601442337037,1.2250660456418991,1.985042667388916
105,262500,1.5619284079551696,1.725445461273193,1.2204792123317718,2.0657318115234373
106,265000,1.5690332084178924,1.7539134740829467,1.219890666627884,2.0375065326690676
107,267500,1.5612810594558717,1.8129934549331663,1.2182199024438858,2.1530316829681397
108,270000,1.566086821937561,1.8240718126297,1.217704750585556,2.0821796655654907
109,272500,1.5655162558794022,1.9883090496063232,1.2203235447883607,2.1701783895492555
110,275000,1.5674187970876694,1.6934353828430175,1.219434952688217,2.121523141860962
111,277500,1.5695405841827392,1.8247964143753053,1.2184886796474457,1.976457595825195
112,280000,1.5606203662633895,1.8082124710083007,1.2146563217639923,2.2128916025161742
113,282500,1.570724458885193,1.7264357566833497,1.211118582749367,1.8617582321166992
114,285000,1.5634111954212189,1.7150601863861084,1.2147120247364045,2.0217971324920656
115,287500,1.5651663926124573,1.761714792251587,1.212109142303467,2.114727878570557
116,290000,1.5645175189256668,1.8659043788909913,1.2080090827941894,2.258483409881592
117,292500,1.559158416056633,1.674123239517212,1.207770514011383,2.2316794395446777
118,295000,1.556816608786583,1.671101713180542,1.2130479093790054,2.2660578966140745
119,297500,1.5618199229478835,1.810536813735962,1.2045869554281234,2.209474229812622
120,300000,1.5617799190282822,1.703130340576172,1.2066682617664335,2.31968994140625
121,302500,1.560941684627533,1.779627227783203,1.207963228559494,1.9067267179489136
122,305000,1.560280896449089,2.0337640762329103,1.2073813379764555,2.0993711233139036
123,307500,1.561575645685196,1.7225905418395997,1.2024151566267014,2.398260307312012
124,310000,1.5674306379318237,1.8536883354187013,1.200875593996048,2.2896272420883177
125,312500,1.5560500761985778,1.8091442346572877,1.2028547063589097,2.1886279821395873
126,315000,1.553962397170067,1.658397555351257,1.2010382101774215,2.1972255229949953
127,317500,1.5620367475032806,1.772775149345398,1.199941820192337,2.426195192337036
128,320000,1.5510409812927246,1.8927661657333377,1.1959934187412262,2.299434471130371
129,322500,1.550513014960289,1.601951813697815,1.1986885675668717,2.0779775619506835
130,325000,1.5574899421453476,1.8229859113693236,1.198546727180481,2.1388173580169676
131,327500,1.5547042757987977,1.9647822618484496,1.194786062002182,2.232020545005798
132,330000,1.551123360323906,1.9245089769363404,1.1944639125347138,2.34718337059021
133,332500,1.5585671771526337,1.7656335353851318,1.192262100481987,2.2047850131988525
134,335000,1.549582188987732,1.7037853002548218,1.1988749240159988,2.2646682024002076
135,337500,1.5560866072893142,1.9101619005203248,1.190654865550995,2.176468825340271
136,340000,1.553460528588295,1.9505526781082152,1.1889797824144364,2.1754411935806273
137,342500,1.5536725595235823,1.6873550176620484,1.1909063981771468,2.5799819469451903
138,345000,1.5471270757913589,1.7276025533676147,1.1916485444784164,2.188367986679077
139,347500,1.554142010116577,1.74553325176239,1.1937377398967743,2.4051767110824587
