,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
119,297500,1.2034005470752716,2.1753692388534547,0.7091159653306007,3.130213165283203
120,300000,1.199239084672928,2.0726245403289796,0.7070844853758812,3.754264402389526
121,302500,1.2060904721975327,1.838052797317505,0.7091292340278625,3.7457983016967775
122,305000,1.1989069841384887,2.033293533325195,0.7078132769465446,3.691120910644531
123,307500,1.2041096068620682,1.7968121767044067,0.7058877586126328,3.6154055118560793
124,310000,1.1960117637872696,1.9999668836593627,0.7064382656693459,3.0809329986572265
125,312500,1.2033731062173842,2.0836925745010375,0.7039709937572479,3.4272685050964355
126,315000,1.1970203759908675,2.572817087173462,0.7059801239490509,3.2514211177825927
127,317500,1.1977360418319702,1.9675235509872435,0.7044515924572945,3.616545629501343
128,320000,1.1992464428186416,2.431648325920105,0.7028518931031227,3.61519718170166
129,322500,1.196352738404274,2.027471351623535,0.7009761763334275,3.705093669891357
130,325000,1.1944596895456314,1.949805998802185,0.7036007792472839,3.504391384124756
131,327500,1.199428349852562,2.0873026132583616,0.6980860302448273,3.4232011318206785
132,330000,1.196354133605957,2.003398633003235,0.7041643100380898,3.2096793174743654
133,332500,1.1947690249919891,1.9940510749816895,0.6990331662893295,3.8558366298675537
134,335000,1.1910746858119965,2.201013684272766,0.7005809550046921,3.9411145210266114
135,337500,1.1845437514781951,2.169730710983276,0.7001072709918023,3.5645238876342775
136,340000,1.192601681804657,2.0788924932479858,0.6966456763386727,3.9013607025146486
137,342500,1.1892471541881562,1.9740505695343016,0.6978167250633239,3.677305221557617
138,345000,1.1916197456359865,1.9454962730407712,0.6959716784238815,3.7608827114105225
139,347500,1.1924310844182968,1.7699386358261109,0.6970315436840058,3.2614826202392577
140,350000,1.1872769195318222,2.295293354988098,0.697444704592228,3.841614246368408
141,352500,1.1855330627918244,2.1842485904693603,0.6939203677773476,3.1108331203460695
142,355000,1.188016866850853,1.7534814357757569,0.6948489467501641,3.7773865699768066
143,357500,1.1866201251029969,2.1090619802474975,0.6936158901572228,3.4380993366241457
144,360000,1.1822191066026688,2.0936906337738037,0.6932347575783729,3.295139026641846
145,362500,1.1806393034219742,2.1546252250671385,0.6930077447891235,3.9868680477142338
146,365000,1.1847858783960343,2.2732505798339844,0.6909239099383354,3.640964221954346
147,367500,1.1838130229234696,2.3122586011886597,0.6906679646253586,3.745178842544555
148,370000,1.1817440962076189,2.2731216192245483,0.6938133875846862,3.867378616333008
149,372500,1.185158156633377,1.991668438911438,0.693363074362278,3.805367755889893
150,375000,1.1789311078310012,2.125026822090149,0.6896091973543167,4.2063041687011715
151,377500,1.1802311101913452,2.010262656211853,0.6895409969806671,3.5244023323059084
152,380000,1.1804256183862687,1.9632352352142337,0.6888180036902428,3.596614456176758
153,382500,1.1790001433610915,1.859490704536438,0.6872634634971618,3.6504858493804937
154,385000,1.1756828872680665,2.1529497146606444,0.6878142058968544,3.830085802078247
155,387500,1.179596547293663,2.157003712654114,0.6874173481702804,3.508766603469849
156,390000,1.1753665780305862,2.2379132747650146,0.6873323169231415,3.5151751041412354
157,392500,1.1768193157434463,2.3110695362091063,0.6856455004215241,4.007487487792969
158,395000,1.1785107027769088,2.076418876647949,0.6861307883143425,3.4177291870117186
159,397500,1.1773003333330154,1.9201996803283692,0.6854604661941528,3.280708980560303
160,400000,1.1783023805856705,2.2493438005447386,0.6860215124726295,3.4808699607849123
161,402500,1.172428367066383,1.759489798545837,0.6821979498386384,3.7283080577850343
162,405000,1.1734805953264236,2.205396270751953,0.6851349486112595,3.81199049949646
163,407500,1.1760673639774322,2.1058127164840696,0.6820311207771301,3.643623161315918
164,410000,1.1777787328720093,2.17752058506012,0.6830970744729042,2.943433427810669
