,step,train_loss_list,test_loss_list
0,0,4.66831111907959,4.214245319366455
1,2500,2.2306742979049683,2.295919418334961
2,5000,1.9162759180545808,2.206855034828186
3,7500,1.8104818515300751,1.9577131509780883
4,10000,1.7557685356140136,2.086889624595642
5,12500,1.7138946254014968,1.8490435838699342
6,15000,1.6849766822099685,1.9354071140289306
7,17500,1.6668323470115662,2.0071494817733764
8,20000,1.6472858389377594,1.884452795982361
9,22500,1.6314016856908797,1.8545869827270507
10,25000,1.6045958104372025,1.8934542655944824
11,27500,1.609115738105774,1.813522720336914
12,30000,1.5865722601890564,2.070213055610657
13,32500,1.5729941854476928,1.8390363931655884
14,35000,1.5707734553337098,1.7588621616363525
15,37500,1.562164184308052,1.7034916162490845
16,40000,1.5471615466117858,1.8746946334838868
17,42500,1.5431555410146713,1.8544249773025512
18,45000,1.5357136118412018,2.060315656661987
19,47500,1.5302655340909959,1.8328832626342773
20,50000,1.522227115225792,1.774265670776367
21,52500,1.514544549012184,2.0191910743713377
22,55000,1.509816634273529,1.994079852104187
23,57500,1.5084252296686171,1.9761819124221802
24,60000,1.499244493842125,1.634315514564514
25,62500,1.4943563735485077,1.7187056064605712
26,65000,1.4979506214618683,1.8600401639938355
27,67500,1.487956183052063,1.688130521774292
28,70000,1.4763547382831574,1.9214473247528077
29,72500,1.4790566667079925,1.863357949256897
30,75000,1.4750639764547349,1.8373364686965943
31,77500,1.4705661989688874,1.722148871421814
32,80000,1.4668816196680068,1.7625285625457763
33,82500,1.4632130825042724,1.8944929122924805
34,85000,1.4590943275213242,1.9792470455169677
35,87500,1.4634839554548265,1.8365314960479737
36,90000,1.4550736180067063,2.153389811515808
37,92500,1.4434184314489364,2.0476850032806397
38,95000,1.4466532224416733,1.8467045783996583
39,97500,1.4453492876529694,1.7200508117675781
40,100000,1.4372472512960435,1.662846302986145
41,102500,1.4392481011867524,1.7056589603424073
42,105000,1.4365752141714097,1.7690621614456177
43,107500,1.4400922873020172,1.9306186437606812
44,110000,1.4234615731477738,1.9819260120391846
45,112500,1.415664413356781,1.9199161767959594
46,115000,1.427215359044075,1.9332893371582032
47,117500,1.4218385320901872,2.0838462352752685
48,120000,1.4169624885082246,1.9957000970840455
49,122500,1.415189038348198,1.87317955493927
50,125000,1.4084826651334763,2.052781081199646
51,127500,1.4106589046239852,2.0099520683288574
52,130000,1.4064389654397964,1.7513428926467896
53,132500,1.406931128525734,1.8381761312484741
54,135000,1.4016726279735565,2.0706202507019045
55,137500,1.3993754436254502,1.681866955757141
56,140000,1.3998996984720231,1.9383514165878295
57,142500,1.396745763707161,1.6370214700698853
58,145000,1.4012102960109711,2.0193387269973755
59,147500,1.3893448746919632,1.9766623973846436
60,150000,1.3894939588308335,1.649713397026062
61,152500,1.3877719135761262,1.6925600051879883
62,155000,1.381149852657318,1.8694092273712157
63,157500,1.3808693578481674,2.059239888191223
64,160000,1.3848054682016373,1.8260080099105835
65,162500,1.3821412326097489,1.8172118663787842
66,165000,1.3768825434684753,1.9779324054718017
67,167500,1.3771901491880416,2.0912184953689574
68,170000,1.371723167705536,1.804412031173706
69,172500,1.369342763710022,1.800375771522522
70,175000,1.3689083291530608,1.9665647268295288
71,177500,1.3696872144699097,1.7926294565200807
72,180000,1.3679396311283112,2.1265865325927735
73,182500,1.362361755466461,1.8973973274230957
74,185000,1.3643957220315934,1.8192238569259644
75,187500,1.365387823820114,1.961564564704895
76,190000,1.3588465295553207,2.160651421546936
77,192500,1.3578440344333649,1.8463316202163695
78,195000,1.357097477698326,2.155934953689575
79,197500,1.3545116740703582,2.111965608596802
80,200000,1.3514925815343857,2.0618001937866213
81,202500,1.3530709188699723,1.8544303894042968
82,205000,1.3502654724597931,2.0485127449035643
83,207500,1.351507075691223,1.8257639408111572
84,210000,1.3496613923072815,1.9840389251708985
85,212500,1.3487265018224717,1.712815523147583
86,215000,1.3443663323402404,2.007286620140076
87,217500,1.3465256220579147,1.9268915414810182
88,220000,1.3448413512468338,1.8178065776824952
89,222500,1.3407379341840744,1.926327109336853
90,225000,1.3385363418340683,2.1307591915130617
91,227500,1.3416651646852493,1.747088623046875
92,230000,1.3340526960849761,2.232222080230713
93,232500,1.3364242926359176,2.291615629196167
94,235000,1.3357206282377243,2.2633403301239015
95,237500,1.3331506610631942,1.8756827116012573
96,240000,1.3281137536287309,1.8838371276855468
97,242500,1.3390447547912598,1.9099883079528808
98,245000,1.3224442888975143,1.932499599456787
99,247500,1.33201783721447,2.027654600143433
100,250000,1.3247725158929824,1.9187632083892823
101,252500,1.3308598186969758,1.713305950164795
102,255000,1.3247286831617355,1.9673551559448241
