,step,train_loss_list,test_loss_list
0,0,4.444443702697754,4.139220428466797
1,2500,2.276287802839279,2.3648492336273192
2,5000,2.04515065703392,2.106052541732788
3,7500,1.9713595234394075,2.2772804260253907
4,10000,1.9333350216388703,2.016585373878479
5,12500,1.8951320580482482,2.1462809324264525
6,15000,1.8723389723300934,2.0806176900863647
7,17500,1.8540916119098663,2.146597218513489
8,20000,1.8372518545627594,2.067675256729126
9,22500,1.820594204568863,2.0696221828460692
10,25000,1.8116744610786437,1.899434781074524
11,27500,1.793154425907135,2.028437113761902
12,30000,1.7861837286949158,2.015951085090637
13,32500,1.7771728302955627,1.994727373123169
14,35000,1.7665226058006287,2.0481717348098756
15,37500,1.7573713462352754,1.9188893556594848
16,40000,1.7515221161842347,2.074135422706604
17,42500,1.743113443827629,2.0559123039245604
18,45000,1.7432150730133056,1.9883627414703369
19,47500,1.7286509660243987,2.0338162183761597
20,50000,1.7358441505908966,1.8621192216873168
21,52500,1.724312827682495,1.8564836978912354
22,55000,1.7220846640586853,2.123444652557373
23,57500,1.7138500072956084,1.7495832204818726
24,60000,1.716952212381363,1.9579792976379395
25,62500,1.7066380111217498,2.0462063550949097
26,65000,1.6998735466003418,1.904020094871521
27,67500,1.6965923126220703,2.0767457723617553
28,70000,1.6880280933618546,1.9205699205398559
29,72500,1.6911369105815888,1.9458905458450317
30,75000,1.6886064691543579,1.8195920944213868
31,77500,1.685706553530693,2.039338159561157
32,80000,1.6791898186206817,1.9800291299819945
33,82500,1.6808066670417785,1.8607515573501587
34,85000,1.675139010167122,1.822371482849121
35,87500,1.672112862110138,1.8207085847854614
36,90000,1.6592680611848831,1.9775924682617188
37,92500,1.6720760102033616,2.087346386909485
38,95000,1.6670383508205413,1.9655717134475708
39,97500,1.6656842216730119,1.859452223777771
40,100000,1.6576378806829453,1.8802525520324707
41,102500,1.658269266653061,1.9304977893829345
42,105000,1.6524047783851623,1.8393033504486085
43,107500,1.6606821465492247,1.9836740255355836
44,110000,1.6478974484682083,1.7817626237869262
45,112500,1.6478519450187683,1.9394142389297486
46,115000,1.6415143140792847,1.889678716659546
47,117500,1.6397378108263017,2.0196329593658446
48,120000,1.6494017534017562,1.7949799299240112
49,122500,1.6408935191631318,1.9090453863143921
50,125000,1.6405998895645142,1.9704901933670045
51,127500,1.6361135560035704,1.9040990829467774
52,130000,1.6409954458713532,1.701048493385315
53,132500,1.6315847867965698,1.828254508972168
54,135000,1.6315924073696138,1.901146364212036
55,137500,1.6307524879932405,1.7311180591583253
56,140000,1.6217243868112563,1.8431715965270996
57,142500,1.6196440197467803,2.1351995706558227
58,145000,1.622899257850647,2.119318056106567
59,147500,1.6294462038517,1.957429552078247
60,150000,1.6187526420354843,1.6925628185272217
61,152500,1.620259507226944,2.0349021911621095
62,155000,1.6147744692325592,1.7753730058670043
63,157500,1.6216006641626357,1.9183592796325684
64,160000,1.6142759625911713,1.8325920343399047
65,162500,1.6091688303470613,1.9176488161087035
66,165000,1.6104628029823302,1.9302565097808837
67,167500,1.6085995611190795,1.802254867553711
68,170000,1.607435873579979,1.6892181396484376
69,172500,1.607683514380455,1.85831139087677
70,175000,1.6038002942085265,1.750212812423706
71,177500,1.6034441200256349,1.9548537731170654
72,180000,1.596225456380844,1.7805134534835816
73,182500,1.5939590215444566,1.7822707414627075
74,185000,1.5975543398380279,1.8360106945037842
75,187500,1.600213535451889,1.8024102449417114
76,190000,1.5991638979434968,1.8223168849945068
77,192500,1.5879344180583954,1.8815102338790894
78,195000,1.594008597278595,2.009386420249939
79,197500,1.5952302757263184,1.7350459814071655
80,200000,1.5896238953113555,1.8994579792022706
81,202500,1.5894282574415206,2.104866099357605
82,205000,1.5929235867500304,1.7169735193252564
83,207500,1.5914192619085312,1.6455273866653441
84,210000,1.5901404234409333,1.7649457931518555
85,212500,1.5920797290086746,2.0559393882751467
86,215000,1.5849827091932296,1.9089739799499512
87,217500,1.586723732995987,1.9436702966690063
88,220000,1.5843816491365432,1.989166831970215
89,222500,1.5834811460733413,1.9649154663085937
90,225000,1.5820091635227203,1.9398946523666383
91,227500,1.5922207696437836,1.8716720581054687
92,230000,1.588912070941925,1.8987622499465941
93,232500,1.5809018932580947,1.8103363037109375
94,235000,1.5752894562482833,1.8011529684066772
95,237500,1.5798172378063202,2.0341211795806884
96,240000,1.581349569940567,1.7062531948089599
97,242500,1.5777801812648773,1.8888055086135864
98,245000,1.5741142464876174,1.9350737094879151
99,247500,1.5732916589260102,2.021350622177124
100,250000,1.5747591170072555,1.8432301044464112
101,252500,1.5723164855003358,1.7390134811401368
102,255000,1.5781496829509736,1.8445930480957031
103,257500,1.5687545246362686,1.9355832815170289
104,260000,1.573722272849083,2.0079439878463745
105,262500,1.5631755740642548,1.8055447816848755
106,265000,1.5698263959407806,1.8077199935913086
107,267500,1.5681663449764252,1.7498311281204224
108,270000,1.5668870806217194,1.8990355730056763
109,272500,1.5707024160146714,1.967442512512207
110,275000,1.566126603603363,1.7912742853164674
111,277500,1.5666503775596619,1.8866173028945923
112,280000,1.568289483642578,1.733889889717102
113,282500,1.5643667809009552,1.9115308046340942
114,285000,1.569743125462532,1.8689979791641236
115,287500,1.5643537659168243,1.995810604095459
116,290000,1.564562754201889,1.804294967651367
117,292500,1.5672100224256515,2.0314996242523193
118,295000,1.559576813197136,1.8132461071014405
119,297500,1.565094248151779,1.7493461847305298
120,300000,1.5617464574575424,1.9399093389511108
121,302500,1.5617758387327194,2.1098405838012697
122,305000,1.557524215745926,1.903688097000122
123,307500,1.556989726805687,1.9581209659576415
124,310000,1.5642416746616363,2.2231890201568603
125,312500,1.5655430725574493,1.8589832782745361
126,315000,1.5619654108762742,1.7400331497192383
127,317500,1.5526683537721635,1.8524487257003783
128,320000,1.5572840458154678,1.7859133720397948
129,322500,1.5573329575061798,1.6751498937606812
130,325000,1.5610972476482392,2.1623900890350343
131,327500,1.5554953783512115,1.9642332792282104
132,330000,1.5569593701124191,1.7502729415893554
133,332500,1.5527576538801193,1.9276389837265016
134,335000,1.5533465185880662,1.8446804523468017
135,337500,1.5594256675720215,1.8690118789672852
136,340000,1.552960573720932,1.861052918434143
137,342500,1.5600177345752717,1.8888864278793336
138,345000,1.546610314631462,1.8824077606201173
139,347500,1.5555288856983185,2.034689259529114
140,350000,1.5553655246019364,1.7697041273117065
141,352500,1.5491195273637772,1.8175436496734618
142,355000,1.559469812464714,1.7645026683807372
143,357500,1.552116151380539,1.8338826179504395
144,360000,1.5491255771636963,1.9117099285125732
145,362500,1.551089768075943,1.8783617734909057
146,365000,1.5512886921644211,1.8817559242248536
147,367500,1.5516044300794603,1.7912588596343995
148,370000,1.5473022879362106,1.9287781238555908
149,372500,1.548450199508667,1.709826946258545
150,375000,1.5486572834014893,2.017629885673523
151,377500,1.5492289425611496,1.6345457792282105
152,380000,1.5471129377365112,1.969004464149475
153,382500,1.5493278806447983,1.8488265991210937
154,385000,1.5474380083322525,2.1369885921478273
155,387500,1.549902761721611,1.8775974750518798
156,390000,1.5471713793277742,1.9947373151779175
157,392500,1.548160552072525,1.7901561737060547
158,395000,1.550298925948143,2.0719855070114135
159,397500,1.550893999361992,1.874911618232727
160,400000,1.5440222498655318,1.840401864051819
161,402500,1.5479424175977707,1.7792644023895263
162,405000,1.5388862755298613,1.6827589273452759
163,407500,1.5382967428684236,1.8880682468414307
164,410000,1.544145778632164,1.830224871635437
165,412500,1.543239261698723,2.0904781579971314
166,415000,1.545980769777298,1.7551804304122924
167,417500,1.5449233876943589,1.7842225074768066
168,420000,1.5430539729833603,1.9592442274093629
169,422500,1.5418434159278869,1.7848752021789551
170,425000,1.5446240817070007,1.7958295822143555
171,427500,1.5401108639478684,1.985125517845154
172,430000,1.5449178712129592,1.8263648986816405
173,432500,1.5414023742198943,1.9818878889083862
174,435000,1.5452925177812575,1.9517855644226074
175,437500,1.5405218661308289,1.8932910919189454
176,440000,1.5397389557361603,2.1733274698257445
177,442500,1.5402279766082763,1.9112533807754517
178,445000,1.5399741090536117,1.9756832838058471
179,447500,1.5396715150117875,1.8637794494628905
180,450000,1.5420967612981795,1.8425557613372803
181,452500,1.5424561362743379,1.77119619846344
182,455000,1.5402621896743773,1.872961688041687
183,457500,1.5342814920663834,1.7644455671310424
184,460000,1.5292206295490265,1.891382098197937
185,462500,1.5406164600372314,2.078031229972839
186,465000,1.536917923617363,1.9856950998306275
187,467500,1.5389776071548462,1.9224642992019654
188,470000,1.5350094049215317,1.8428550243377686
189,472500,1.5384175410747527,1.9198307275772095
190,475000,1.5328913100719452,1.9467813491821289
191,477500,1.5374859898090363,1.7250602960586547
192,480000,1.53493111205101,1.7809378385543824
193,482500,1.5307130082130431,1.8847408294677734
194,485000,1.5328510045051575,1.8719762086868286
195,487500,1.5327065519809724,1.935679817199707
196,490000,1.5382803597450256,1.7963948011398316
197,492500,1.5331999570846557,1.818564486503601
198,495000,1.5332704835414885,1.8183507680892945
199,497500,1.5344741466522216,1.8844056129455566
