,step,train_loss_list,test_loss_list
0,0,4.38169527053833,4.149601650238037
1,2500,2.271245035791397,2.4459588050842287
2,5000,2.0310165999412537,2.0983956813812257
3,7500,1.9523443605422974,2.207296133041382
4,10000,1.8963884580135346,2.1313822746276854
5,12500,1.8571717530727387,2.114007019996643
6,15000,1.8237497872829438,1.947022032737732
7,17500,1.8011463272094728,1.9226176977157592
8,20000,1.7712278598308564,1.8548963785171508
9,22500,1.7547529480934143,2.0771685361862184
10,25000,1.7380122134685516,1.9191480875015259
11,27500,1.716643124651909,2.0255278587341308
12,30000,1.7134419056892396,1.857777762413025
13,32500,1.694755313205719,1.9244350910186767
14,35000,1.689593886756897,1.82034113407135
15,37500,1.6701329434394836,1.9648976564407348
16,40000,1.6594855922222138,1.9883173942565917
17,42500,1.6524252311706542,1.794549012184143
18,45000,1.6535446121692658,1.9611112117767333
19,47500,1.645452556824684,1.8552011013031007
20,50000,1.634156047439575,2.0285594701766967
21,52500,1.6269977150678634,1.7498148679733276
22,55000,1.6242091844320297,1.8275114059448243
23,57500,1.616034319591522,1.8242307424545288
24,60000,1.6122787336111069,1.8268867254257202
25,62500,1.6079087895870208,1.8157187700271606
26,65000,1.6050339377880096,1.9533705711364746
27,67500,1.5916039761066436,1.8054270029067994
28,70000,1.5883999917984009,1.8961404085159301
29,72500,1.5879711993455887,1.8332486867904663
30,75000,1.58501049118042,1.8788037300109863
31,77500,1.5862029188632965,1.8262648105621337
32,80000,1.5699153274059297,1.9560598373413085
33,82500,1.566592418050766,1.9556399822235107
34,85000,1.5636331554412841,1.7905678033828736
35,87500,1.5639418653964996,2.0514779567718504
36,90000,1.5650051785945893,1.8507206439971924
37,92500,1.55912464799881,1.836502194404602
38,95000,1.552855694913864,1.982350516319275
39,97500,1.550958378648758,1.9200586318969726
